Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CATY,Cathay General Bancorp,32.95,$2.63B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty
CATYW,Cathay General Bancorp,11.87,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catyw
CVCO,"Cavco Industries, Inc.",75.44,$668.98M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
CAVM,"Cavium, Inc.",74.65,$4.13B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CBFV,"CB Financial Services, Inc.",20.4,$83.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv
CNLM,CB Pharma Acquisition Corp.,9.88,$54.7M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlm
CNLMR,CB Pharma Acquisition Corp.,0.405,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmr
CNLMU,CB Pharma Acquisition Corp.,10.7,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/cnlmu
CNLMW,CB Pharma Acquisition Corp.,0.38,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmw
CBOE,"CBOE Holdings, Inc.",59.2,$4.94B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe
CDK,"CDK Global, Inc.",55.95,$8.97B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk
CDW,CDW Corporation,36.43,$6.29B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw
CECE,CECO Environmental Corp.,11.54,$303.82M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece
CPXX,Celator Pharmaceuticals Inc.,2.45,$82.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpxx
CELG,Celgene Corporation,111.11,$88.13B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg
CELGZ,Celgene Corporation,2.33,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celgz
CLDN,Celladon Corporation,2.16,$51.64M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cldn
CLDX,"Celldex Therapeutics, Inc.",24.53,$2.42B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx
CLRB,"Cellectar Biosciences, Inc.",2.96,$22.39M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb
CLRBW,"Cellectar Biosciences, Inc.",0.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw
CLLS,Cellectis S.A.,37.02,$928.55M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/clls
CBMG,"Cellular Biomedicine Group, Inc.",37.48,$431.58M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg
CLSN,Celsion Corporation,2.38,$47.61M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn
CLTX,Celsus Therapeutics Plc,0.637,$3.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cltx
CEMP,"Cempra, Inc.",32.49,$1.42B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemp
CSFL,"CenterState Banks, Inc.",13.19,$599.38M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl
CETV,Central European Media Enterprises Ltd.,2.23,$301.9M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv
CFBK,Central Federal Corporation,1.35,$21.36M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk
CENT,Central Garden & Pet Company,9.58,$472.91M,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent
CENTA,Central Garden & Pet Company,10.07,$360.66M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa
CVCY,Central Valley Community Bancorp,11.02,$121.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy
CENX,Century Aluminum Company,11.41,$990.47M,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
CNBKA,"Century Bancorp, Inc.",39,$217.15M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka
CNTY,"Century Casinos, Inc.",6.09,$148.48M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty
CPHD,CEPHEID,57.34,$4.12B,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cphd
CRNT,Ceragon Networks Ltd.,1.16,$89.5M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERE,"Ceres, Inc.",2.33,$14.06M,2012,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cere
CERN,Cerner Corporation,67.51,$23.23B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CERU,Cerulean Pharma Inc.,4.61,$125.78M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ceru
CERS,Cerus Corporation,5.4,$515M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,0.98,$39.62M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",19.83,$408.61M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CYOU,Changyou.com Limited,31.1,$1.64B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
HOTR,"Chanticleer Holdings, Inc.",2.8,$34.5M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotr
HOTRW,"Chanticleer Holdings, Inc.",0.5,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotrw
CTHR,Charles & Colvard Ltd,1.52,$31.24M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",34.82,$1.06B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",169.97,$19.04B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
CHFN,Charter Financial Corp.,12.16,$201.65M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn
CHKP,Check Point Software Technologies Ltd.,83.49,$15.34B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,3.25,$35.07M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,1.7,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw
CEMI,"Chembio Diagnostics, Inc.",5.15,$49.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,32.83,$1.11B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",8.7,$380.14M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,26.3175,$122.38M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,26.45,$229.27M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke
CHEV,Cheviot Financial Corp,14.86,$100.98M,2004,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chev
CBNK,"Chicopee Bancorp, Inc.",16.51,$87.02M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/cbnk
PLCE,"Children&#39;s Place, Inc. (The)",64.55,$1.33B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",41.76,$1.73B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",4.64,$9.65M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CALI,China Auto Logistics Inc.,1.48,$5.97M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",8.67,$278.49M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
CBAK,"China BAK Battery, Inc.",3.63,$45.81M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak
CBPO,"China Biologic Products, Inc.",114.11,$2.84B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",1.17,$23.9M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",1.62,$20.07M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr
JRJC,China Finance Online Co. Limited,6.04,$135.8M,2004,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/jrjc
CHOP,China Gerui Advanced Materials Group Limited,1.95,$11.58M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/chop
HGSH,"China HGS Real Estate, Inc.",3.1,$139.66M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh
CHLN,"China Housing & Land Development, Inc.",2.35,$16.36M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/chln
CNIT,"China Information Technology, Inc.",3.345,$107.86M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CJJD,"China Jo-Jo Drugstores, Inc.",3.55,$54.62M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd
HTHT,"China Lodging Group, Limited",28.52,$1.79B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht
CMGE,China Mobile Games and Entertainment Group Limited,21.09,$660.72M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmge
CHNR,"China Natural Resources, Inc.",2.34,$58.29M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,0.92,$76.44M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg
CPGI,"China Shengda Packaging Group, Inc.",6.76,$10.49M,2010,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cpgi
CSUN,"China Sunergy Co., Ltd.",1.89,$25.27M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/csun
CNTF,China TechFaith Wireless Communication Technology Limited,1.3,$68.81M,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,6.26,$307.69M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc
CNYD,"China Yida Holding, Co.",3.1612,$12.37M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cnyd
CCIH,ChinaCache International Holdings Ltd.,13.5,$363.44M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",1.47,$42.97M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,23.16,$660.13M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CHSCL,CHS Inc,27.19,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl
CHSCM,CHS Inc,25.54,$485.26M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm
CHSCN,CHS Inc,26.39,$443.35M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn
CHSCO,CHS Inc,28.3,$320.33M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco
CHSCP,CHS Inc,31,$224.2M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",125.81,$2.21B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",26.75,$440.5M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",15.66,$211.58M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx
CIFC,CIFC Corp.,7.71,$195.07M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cifc
CMCT,CIM Commercial Trust Corporation,17.8521,$1.74B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct
CMPR,Cimpress N.V,85.36,$2.8B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,50.86,$8.36B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,0.92,$70.8M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,85.3,$9.76B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
CPHR,Cipher Pharmaceuticals Inc.,8.73,$226.06M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphr
CRUS,"Cirrus Logic, Inc.",35.57,$2.26B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",28.71,$146.02B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",26.16,$406.89M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CZNC,Citizens & Northern Corp,20.39,$248.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",9.25,$48.41M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,12.6,$24.81M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,22.15,$108.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",70.34,$11.27B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,47.87,$728.31M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CIVB,"Civista Bancshares, Inc. ",11,$86.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb
CIVBP,"Civista Bancshares, Inc. ",34.125,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp
CDTI,"Clean Diesel Technologies, Inc.",2.07,$29.38M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,Clean Energy Fuels Corp.,7.68,$694.11M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CLNT,"Cleantech Solutions International, Inc.",3.02,$11.9M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLFD,"Clearfield, Inc.",15.24,$209.03M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",14.22,$129.63M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro
CLIR,ClearSign Combustion Corporation,5.41,$69.27M,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CBLI,"Cleveland BioLabs, Inc.",2.88,$11.53M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CKSW,ClickSoftware Technologies Ltd.,12.6,$419.55M,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cksw
CSBK,Clifton Bancorp Inc.,13.99,$365.8M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,"Clovis Oncology, Inc.",85.15,$2.9B,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CMFN,CM Finance Inc,13.77,$188.2M,2014,n/a,n/a,http://www.nasdaq.com/symbol/cmfn
CME,CME Group Inc.,96.53,$32.58B,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CCNE,CNB Financial Corporation,18.07,$260.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CISG,CNinsure Inc.,9.1,$523.51M,2007,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/cisg
CNV,Cnova N.V.,5.85,$2.58B,2014,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cnv
CWAY,"Coastway Bancorp, Inc.",11.43,$56.3M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway
COBZ,CoBiz Financial Inc.,12.73,$521.86M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz
COKE,Coca-Cola Bottling Co. Consolidated,124.74,$1.16B,1972,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke
CDRB,Code Rebel Corporation,34.31,$432.65M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdrb
CDXS,"Codexis, Inc.",4.51,$179.88M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CVLY,"Codorus Valley Bancorp, Inc",20.82,$121.77M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly
JVA,"Coffee Holding Co., Inc.",5.23,$32.51M,2005,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva
CCOI,"Cogent Communications Holdings, Inc.",32.8,$1.51B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ccoi
CGNT,"Cogentix Medical, Inc.",1.69,$43.52M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cgnt
CGNX,Cognex Corporation,49.24,$4.29B,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
CTSH,Cognizant Technology Solutions Corporation,62.72,$38.29B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
COHR,"Coherent, Inc.",64.89,$1.55B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr
CHRS,"Coherus BioSciences, Inc.",26.58,$1.01B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
COHU,"Cohu, Inc.",12.89,$333.95M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
CLRX,"CollabRx, Inc.",0.7701,$8.06M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clrx
CLCT,"Collectors Universe, Inc.",21.58,$191.6M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct
COLL,"Collegium Pharmaceutical, Inc.",18.87,$371.89M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/coll
CIGI,Colliers International Group Inc. ,38.71,$1.42B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cigi
CBAN,"Colony Bankcorp, Inc.",8.84,$74.6M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban
CLCD,"CoLucid Pharmaceuticals, Inc.",8.87,$134.28M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clcd
COLB,"Columbia Banking System, Inc.",32.83,$1.89B,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
COLM,Columbia Sportswear Company,59.87,$4.22B,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,Columbus McKinnon Corporation,24.17,$485.04M,1996,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CBMX,CombiMatrix Corporation,1.43,$18.13M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cbmx
CMCSA,Comcast Corporation,58.88,$149.11B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CMCSK,Comcast Corporation,58.405,$147.91B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsk
CBSH,"Commerce Bancshares, Inc.",47.64,$4.6B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CBSHP,"Commerce Bancshares, Inc.",25.3,$2.32B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
CVGI,"Commercial Vehicle Group, Inc.",7.24,$217.39M,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
COMM,"CommScope Holding Company, Inc.",31.5,$5.97B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
CSAL,"Communications Sales & Leasing,Inc.",26.17,$3.92B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/csal
JCS,"Communications Systems, Inc.",10.93,$94.66M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
CBIN,"Community Bank Shares of Indiana, Inc.",27.7,$148.97M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbin
ESXB,Community Bankers Trust Corporation.,4.95,$108.01M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CYHHZ,"Community Health Systems, Inc.",0.019,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CTBI,"Community Trust Bancorp, Inc.",34.39,$601.34M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,6.5201,$53.49M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
COB,CommunityOne Bancorp,10.39,$251.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cob
CVLT,"CommVault Systems, Inc.",44.43,$2.01B,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CIZ,Compass EMP Developed 500 Enhanced Volatility Weighted Index E,36.07,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ciz
CDC,Compass EMP U S EQ Income 100 Enhanced Volatility Weighted Fun,35.8738,$23.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cdc
CSF,Compass EMP U.S. Discovery 500 Enhanced Volatility Weighted Fu,39.61,$21.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csf
CFO,Compass EMP US 500 Enhanced Volatility Weighted Index ETF,37.32,$26.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfo
CFA,Compass EMP US 500 Volatility Weighted Index ETF,37.28,$7.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfa
CGEN,Compugen Ltd.,7.28,$365.85M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,"Computer Programs and Systems, Inc.",54.61,$617.94M,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",7.87,$147.3M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
SCOR,"comScore, Inc.",53.62,$2.17B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/scor
CHCI,"Comstock Holding Companies, Inc.",0.65,$15.28M,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,Comtech Telecommunications Corp.,29.65,$477.94M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNSI,Comverse Inc.,21.27,$464.33M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cnsi
CNAT,Conatus Pharmaceuticals Inc.,5.58,$110.13M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,"Concert Pharmaceuticals, Inc.",16.11,$349.93M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CCUR,Concurrent Computer Corporation,6.28,$59.3M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CNMD,CONMED Corporation,56.69,$1.56B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",33.55,$374.15M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",20.54,$614.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cnob
CNXR,"Connecture, Inc.",9.16,$198.8M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
CONN,"Conn&#39;s, Inc.",40.36,$1.47B,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,"Consolidated Communications Holdings, Inc.",21.14,$1.07B,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CWCO,Consolidated Water Co. Ltd.,12.6,$185.65M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CTCT,"Constant Contact, Inc.",28.8,$926.15M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/ctct
CPSS,"Consumer Portfolio Services, Inc.",6.03,$157.39M,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CFRX,ContraFect Corporation,4.83,$98.15M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CFRXW,ContraFect Corporation,1.55,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrxw
CFRXZ,ContraFect Corporation,0.6589,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrxz
CTRV,ContraVir Pharmaceuticals Inc,4.44,$98.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,Control4 Corporation,10.37,$253.09M,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPRT,"Copart, Inc.",36,$4.55B,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",3.45,$89.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,Corcept Therapeutics Incorporated,6.46,$696.09M,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
BVA,Cordia Bancorp Inc.,3.94,$25.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bva
CORE,"Core-Mark Holding Company, Inc.",56.37,$1.3B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORI,"Corium International, Inc.",14.54,$262.9M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CSOD,"Cornerstone OnDemand, Inc.",32.83,$1.77B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRVL,CorVel Corp.,31.71,$637.09M,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
COSI,"Cosi, Inc.",2.24,$107.64M,2002,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cosi
